missing_source_id;country_or_system;expected_source_title_or_type;why_needed;possible_institution_to_search;suggested_search_query;priority_level;expected_target_folder;notes
MISS-CR-05;costa_rica;TSE — Reglamento del Referéndum (decreto TSE vigente);Sin el reglamento del TSE no es posible identificar el procedimiento operativo de activación del referéndum en Costa Rica;TSE — https://www.tse.go.cr/normativa.htm;TSE Reglamento referéndum Costa Rica decreto;P1;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/costa_rica/md/;Buscar en página de normativa del TSE. Verificar número de decreto y publicación en La Gaceta.
MISS-CR-06;costa_rica;TSE — Reglamento sobre Iniciativa Ciudadana en la Formación de la Ley;Sin este reglamento no es posible identificar el procedimiento operativo de verificación de apoyos para la iniciativa popular;TSE — https://www.tse.go.cr/normativa.htm;TSE Reglamento iniciativa ciudadana Costa Rica decreto;P1;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/costa_rica/md/;Buscar en normativa del TSE
MISS-CR-07;costa_rica;Ley Orgánica del TSE (Ley 3504) — texto consolidado vigente;Sin la ley orgánica no es posible mapear la estructura institucional y competencias del TSE como actor central en todos los mecanismos;SCIJ — PGR;Ley 3504 organica TSE Costa Rica texto vigente;P1;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/costa_rica/md/;Descargar desde SCIJ
MISS-CR-08;costa_rica;Reglamento de la Asamblea Legislativa — texto vigente;Sin el reglamento de la Asamblea no es posible mapear el tramo legislativo del procedimiento de iniciativa popular (admisión | comisiones | trámite);Asamblea Legislativa — http://www.asamblea.go.cr/;Reglamento Asamblea Legislativa Costa Rica texto vigente;P1;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/costa_rica/md/;Buscar en sitio oficial de la Asamblea Legislativa
MISS-CR-09;costa_rica;TSE — Compilación de jurisprudencia y resoluciones sobre mecanismos de participación directa;Sin jurisprudencia del TSE no es posible construir la capa jurisprudencial costarricense en activation_standards;TSE — https://www.tse.go.cr/jurisprudencia.htm;TSE jurisprudencia referéndum iniciativa popular participación ciudadana;P1;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/costa_rica/md/;Base de datos dinámica. Buscar resoluciones sobre referéndum | iniciativa popular | derechos de partidos | paridad
MISS-CR-10;costa_rica;Sala Constitucional (Sala IV) — Votos clave sobre derechos políticos y referéndum;Sin jurisprudencia de la Sala IV no es posible mapear la capa de revisión constitucional de los mecanismos en Costa Rica;Poder Judicial — https://nexuspj.poder-judicial.go.cr/;Sala IV voto referéndum derechos políticos paridad constitucional;P1;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/costa_rica/md/;Buscar en Nexus PJ. Votos clave: Voto 2771-2003 | Voto 17555-2014 | Votos sobre restricciones a derechos políticos
MISS-INT-01;international;Convención Americana sobre Derechos Humanos — texto oficial en español;Sin la CADH no hay estándar inter-americano de referencia para el análisis. Art. 23 es el eje del proyecto;OEA — https://www.oas.org/dil/esp/tratados_b-32_convencion_americana_sobre_derechos_humanos.htm;Convención Americana Derechos Humanos texto español OEA;P1;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/international_standards/md/;Descargar texto oficial de la OEA
MISS-INT-02;international;Pacto Internacional de Derechos Civiles y Políticos — texto oficial en español;Sin el PIDCP no hay estándar universal de referencia. Art. 25 define los derechos políticos a nivel global;OHCHR — https://www.ohchr.org/es/;PIDCP ICCPR texto español OHCHR;P1;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/international_standards/md/;Descargar desde OHCHR
MISS-INT-03;international;Sentencias clave de la CorteIDH sobre Art. 23 CADH (Castañeda Gutman | Yatama | López Mendoza | Petro Urrego);Sin estas sentencias no es posible construir la capa jurisprudencial inter-americana. Castañeda Gutman vs México es directamente relevante para el análisis de candidaturas independientes en México;CorteIDH — https://www.corteidh.or.cr/;CorteIDH sentencia derechos políticos artículo 23 CADH candidaturas independientes;P1;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/international_standards/md/;Descargar desde base de datos oficial de la CorteIDH en www.corteidh.or.cr/casos_sentencias.cfm
MISS-INT-04;international;Observación General No. 25 del Comité de Derechos Humanos ONU (1996);Sin la OG 25 no hay interpretación autorizada de la ONU sobre el Art. 25 PIDCP. Directamente relevante para activation_standards;OHCHR — https://www.ohchr.org/;CCPR General Comment 25 articulo 25 PIDCP derecho participación;P1;/Users/adelasantos/Documents/normtrace-politicalrights/01_sources/international_standards/md/;Descargar desde OHCHR. Disponible en español.
MISS-INT-05;international;Tabla de descubrimiento de fuentes — no existía ninguna tabla de planificación del corpus previo a este ejercicio;La ausencia de una tabla de descubrimiento de fuentes impedía planificar sistemáticamente la adquisición del corpus;N/A — documento generado internamente;N/A;P1;/Users/adelasantos/Documents/normtrace-politicalrights/03_tables/source_discovery/;Este documento (priority_corpus_list.csv y missing_sources_list.csv) es el resultado de llenar esta brecha.
